Dell|E5440-1591|14|Intel Core i3|4|128GB Solid State Drive|""|6378072|241.99|https://www.bestbuy.com//site/dell-latitude-14-refurbished-laptop-intel-core-i3-4gb-memory-128gb-solid-state-drive-black/6320526.p?skuId=6320526|"Dell - Latitude 14'" Refurbished Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive - Black"|2019-09-24 17:48
Acer|AN7155173BU|15.6|Intel Core i7|8|256GB Solid State Drive|NVIDIA GeForce GTX 1650|6360992|1099.99|https://www.bestbuy.com//site/acer-nitro-7-15-6-gaming-laptop-intel-core-i7-8gb-memory-nvidia-geforce-gtx-1650-256gb-solid-state-drive-obsidian-black/6359946.p?skuId=6359946|"Acer - Nitro 7 15.6'" Gaming Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1650 - 256GB Solid State Drive - Obsidian Black"|2019-09-24 17:48
Dell|E7240-1564|12.5|Intel Core i5|8|128GB Solid State Drive|""|6347410|322.99|https://www.bestbuy.com//site/dell-latitude-12-5-laptop-intel-core-i5-8gb-memory-128gb-solid-state-drive-pre-owned-black/6219214.p?skuId=6219214|"Dell - Latitude 12.5'" Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Pre-Owned - Black"|2019-09-24 17:48
HP|640 G2-31211|14|Intel Core i5|8|256GB Solid State Drive|""|6277536|432.99|https://www.bestbuy.com//site/hp-probook-14-refurbished-laptop-intel-core-i5-8gb-memory-256gb-solid-state-drive-black/6297006.p?skuId=6297006|"HP - ProBook 14'" Refurbished Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black"|2019-09-24 17:48
Dell|E7440-1571|14|Intel Core i5|8|500GB Solid State Drive|""|4020462|417.99|https://www.bestbuy.com//site/dell-latitude-14-laptop-intel-core-i5-8gb-memory-500gb-solid-state-drive-pre-owned-silver/6219239.p?skuId=6219239|"Dell - Latitude 14'" Laptop - Intel Core i5 - 8GB Memory - 500GB Solid State Drive - Pre-Owned - Silver"|2019-09-24 17:48
MSI|GS65 STEALTH-483|15.6|Intel Core i7|16|512GB Solid State Drive|NVIDIA GeForce RTX 2060|6301850|1999.99|https://www.bestbuy.com//site/msi-15-6-gaming-laptop-intel-core-i7-16gb-memory-nvidia-geforce-rtx-2060-512gb-solid-state-drive-matte-black-with-gold-diamond-cut/6348263.p?skuId=6348263|"MSI - 15.6'" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2060 - 512GB Solid State Drive - Matte Black With Gold Diamond Cut"|2019-09-24 17:48
Lenovo|81QF000AUS|15.6|Intel Core i3|8|128GB Solid State Drive|""|6219241|679.99|https://www.bestbuy.com//site/lenovo-s340-15iwl-touch-15-6-touch-screen-laptop-intel-core-i3-8gb-memory-128gb-solid-state-drive-platinum-gray/6344749.p?skuId=6344749|"Lenovo - S340-15IWL Touch 15.6'" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 128GB Solid State Drive - Platinum Gray"|2019-09-24 17:48
Lenovo|T450-30988|14|Intel Core i5|8|500GB Hard Drive|""|6363223|328.99|https://www.bestbuy.com//site/lenovo-thinkpad-14-refurbished-laptop-intel-core-i5-8gb-memory-500gb-hard-drive-black/6320495.p?skuId=6320495|"Lenovo - ThinkPad 14'" Refurbished Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Black"|2019-09-24 17:48
ASUS|X540UADB52|15.6|Intel Core i5|8|1TB + 8GB Hybrid Hard Drive|""|6320537|599.99|https://www.bestbuy.com//site/asus-vivobook-15-15-6-laptop-intel-core-i5-8gb-memory-1tb-8gb-hybrid-hard-drive-dark-brown-gold/6311229.p?skuId=6311229|"ASUS - VivoBook 15 15.6'" Laptop - Intel Core i5 - 8GB Memory - 1TB + 8GB Hybrid Hard Drive - Dark Brown, Gold"|2019-09-24 17:48
ASUS|G731GWDB76|17.3|Intel Core i7|16|1TB Hybrid Drive + 512GB SSD|NVIDIA GeForce RTX 2070|6304600|1999.99|https://www.bestbuy.com//site/asus-17-3-gaming-laptop-intel-core-i7-16gb-memory-nvidia-geforce-rtx-2070-1tb-hybrid-drive-512gb-ssd-black/6351542.p?skuId=6351542|"ASUS - 17.3'" Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2070 - 1TB Hybrid Drive + 512GB SSD - Black"|2019-09-24 17:48
Razer|GSRF RZ09-01953E72-R3U1|14|Intel Core i7|16|512GB Solid State Drive|NVIDIA GeForce GTX 1060|6356077|1399.99|https://www.bestbuy.com//site/razer-blade-14-refurbished-laptop-intel-core-i7-16gb-memory-nvidia-geforce-gtx-1060-512gb-solid-state-drive-black/6283810.p?skuId=6283810|"Razer - Blade 14'" Refurbished Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 512GB Solid State Drive - Black"|2019-09-24 17:48
