brand|cpu|graphics|hd|lastUpdated|link|model|price|ram|screenSize|store|title|upc
Lenovo|Intel Core i5-4202Y||128|2019-09-28 07:08|https://www.frys.com/product/8136035?site=sr:SEARCH:MAIN_RSLT_PG|59413201|349|4|11.6|Fry's|"Lenovo Miix 2, Intel Core i5-4202Y, 11.6'" Touch 2-in1 Laptop With 4GB Memory, 128GB SSD, Windows 8.1"|888631120300
HP|AMD A9-9425||2000|2019-09-28 07:08|https://www.frys.com/product/9856045?site=sr:SEARCH:MAIN_RSLT_PG|17-ca0009A9-9425|399|8|17.3|Fry's|"HP 17-ca0009 17.3'" Touchscreen Refurbished Laptop With AMD A9-9425 Processor, 8GB Memory, 2TB Hard Drive, Windows 10"|193015986077
Microsoft|Intel Core i5||""|2019-09-28 07:08|https://www.frys.com/product/9177828?site=sr:SEARCH:MAIN_RSLT_PG|DAG-00001|698|""|13.5|Fry's|"Microsoft Surface 13.5'" laptop with Intel Core i5 Processor,8GB, 256GB, Touch,Windows 10S DAG-00001-Platinum Color"|889842170597
Lenovo|Intel Ci7-7500U||512|2019-09-28 07:08|https://www.frys.com/product/9325050?site=sr:SEARCH:MAIN_RSLT_PG|Ideapad720S|799|16|14.0|Fry's|"Lenovo Idea720S 14'" Laptop With Intel Ci7-7500U Processor, 16GB Memory, 512GB SSD, Windows 10 Geforce 940MX 2GB"|191376122813
Asus|Intel Ci7-8550U||512|2019-09-28 07:08|https://www.frys.com/product/9377340?site=sr:SEARCH:MAIN_RSLT_PG|UX430UA-DH74|1099|16|14.0|Fry's|"Asus UX430UA 14'" Laptop With Intel Ci7-8550U Processor, 16GB Memory, 512GB SSD, Windows 10"|889349815861
MSI|9th Generation Intel Ci7-9750H||""|2019-09-28 07:08|https://www.frys.com/product/9897625?site=sr:SEARCH:MAIN_RSLT_PG|GF759SC-027i7-9750|1199|16|17.3|Fry's|"MSI GF75 THIN 9SC-027 17.3'" FHD Gaming Laptop With 9th Generation Intel Ci7-9750H Processor, 16GB Memory, 512GB SSD, GTX1650 4GB Graphics, Windows 10"|824142181324
Asus|Intel Ci7-8565U||512|2019-09-28 07:08|https://www.frys.com/product/9876345?site=sr:SEARCH:MAIN_RSLT_PG|UX433FADH74i78565U|1199|16|14.0|Fry's|"Asus UX433FA-DH74 14'" Laptop With Intel Ci7-8565U Processor, 16GB Memory, 512GB SSD, Windows 10"|192876091821
MSI|Intel® Core™ Core i7-7700HQ NVIDIA GeForce® GTX1070 16GB Memory Gaming Laptop||""|2019-09-28 07:08|https://www.frys.com/product/9053617?site=sr:SEARCH:MAIN_RSLT_PG|GT72VRDOMPRO-448|1899|16|""|Fry's|MSI Intel® Core™ Core i7-7700HQ NVIDIA GeForce® GTX1070 16GB Memory Gaming Laptop|824142138731
Asus|Intel Ci7-8565U||512|2019-09-28 07:08|https://www.frys.com/product/9876335?site=sr:SEARCH:MAIN_RSLT_PG|UX533FDDH74i7-8565U|1399|16|15.6|Fry's|"Asus UX533FD-DH74 15.6'" Laptop With Intel Ci7-8565U Processor, 16GB Memory, 512GB SSD, GTX1050 2GB Graphics, Windows 10"|192876114438
Dell|Intel Pentium N3540||128|2019-09-28 07:08|https://www.frys.com/product/9653673?site=sr:SEARCH:MAIN_RSLT_PG|Latitude11IPN3540|149|4|11.6|Fry's|"Dell Lat.11 11.6'" 3rd Party Refurbished Intel Pentium N3540 Laptop with 4GB Memory, 128GB SSD, Windows 10 **90 Days Warranty**"|696897735721
HP|AMD A12-9700P||2000|2019-09-28 07:08|https://www.frys.com/product/9205599?site=sr:SEARCH:MAIN_RSLT_PG|17-y028|414.07|12|17.3|Fry's|"HP 17-y028 AMD A12-9700P 17.3'" Touchscreen Laptop With 12GB Memory, 2TB Hard Drive, Windows 10 - Green(Refurbished)"|190781661085
Huawei|Intel Ci7-8550U||512|2019-09-28 07:08|https://www.frys.com/product/9572182?site=sr:SEARCH:MAIN_RSLT_PG|53010CAJ|1499|16|13.9|Fry's|"Huawei MateBook X Pro, 13.9'" Touchscreen Laptop with Intel Ci7-8550U Processor, 16GB Memory, 512GB SSD, MX 150 2GB Graphics, Windows 10"|886598055390
Dell|Intel Core m3-6Y30||500|2019-09-28 07:08|https://www.frys.com/product/9120208?site=sr:SEARCH:MAIN_RSLT_PG|i3169-0011RED|324.57|4|11.6|Fry's|"Dell Inspiron 11 Intel Core m3-6Y30 11.6'" 2 in 1 Touchscreen Red Laptop With 4GB Memory, 500GB Hard Drive, Windows 10"|884116217282
HP|Intel® Core™ i7||1000|2019-09-28 07:08|https://www.frys.com/product/9205489?site=sr:SEARCH:MAIN_RSLT_PG|17-x173|499|8|17.3|Fry's|"HP 17-x173, 17.3'" Refurbished Laptop With Intel® Core™ i7 Processor, 8GB Memory, 1TB Hard Drive and Windows 10"|190781814368
Asus|Intel i5-8265U||256|2019-09-28 07:08|https://www.frys.com/product/9876975?site=sr:SEARCH:MAIN_RSLT_PG|UX333FADH51i58265U|849|8|13.3|Fry's|"Asus UX333FA-DH51 13.3'" Laptop With Intel i5-8265U Processor, 8GB Memory, 256GB SSD, Windows 10"|192876197714
Dell|Intel Ci5-8265U||1000|2019-09-28 07:08|https://www.frys.com/product/9852645?site=sr:SEARCH:MAIN_RSLT_PG|Insp145482i5-8265U|599|8|14.0|Fry's|"Dell i5482-5533SLV-PUS 14'" 2-in-1 Touchscreen Laptop With Intel Ci5-8265U Processor, 8GB Memory, 16GB Optane Memory, 1TB Hard Drive, Windows 10"|884116313533
Alienware|""||128|2019-09-28 07:08|https://www.frys.com/product/8998363?site=sr:SEARCH:MAIN_RSLT_PG|AW15R3-3831SLV|1599|""|15.6|Fry's|"Dell AW15-3831 i7-6700HQ 15.6'" Measured Diagonal 16GB, 1TB+128GB SSD GTX1060 6GB, Win 10"|884116253808
